Stock Name,Price,Increase
Russian Real Estate Inv.,"0,09","80,00"
Catella A,"26,20","43,96"
OptiMobile,"1,15","32,18"
Challenger Mobile B,"0,270","31,07"
Midsona A,"74,50","17,32"
Net Trading Group NTG,"0,605","15,24"
ZignSec,"23,00","13,86"
iZafe Group B,"4,08","13,02"
Catella B,"22,50","11,39"
Transferator B,"1,50","11,11"
CloudRepublic B,"9,15","10,91"
AlzeCure Pharma,"9,94","10,44"
Chordate Medical Holding,"1,40","10,24"
Mycronic,"194,30","9,77"
IRLAB Therapeutics A,"31,90","9,06"
Elos Medtech B,"91,40","8,55"
SolTech Energy Sweden,"22,38","8,33"
Dome Energy,"2,70","8,00"
Adverty,"6,18","7,67"
Rejlers B,"145,00","7,41"
GoldBlue,"0,280","60,00"
Motion Display,"4,56","42,50"
Spintso International,"0,705","31,78"
Scandinavian Health Innovations B,"13,50","29,81"
Taurus Energy B,"0,550","16,53"
Consensus B,"0,565","13,91"
Future Gaming Group,"0,052","13,04"
H&D Wireless Sweden Holding B,"1,250","11,61"
BrainCool,"9,10","11,25"
Paynova,"19,10","11,05"
Oncology Venture,"1,918","10,87"
Acarix,"0,860","10,26"
Parans Solar Lighting,"6,02","9,85"
Netmore Group B,"1,380","9,52"
24Storage,"45,60","8,83"
ITAB Shop Concept B,"13,26","8,51"
QuickBit,"11,35","8,10"
Aptahem,"2,800","7,69"
Beyond Frames,"6,35","7,63"
AAC Clyde Space,"3,350","7,20"
