Stock Name,Price,Increase
OptiMobile,"1,15","116,98"
Net Trading Group NTG,"0,605","95,16"
Russian Real Estate Inv.,"0,09","80,00"
Scandinavian Health Innovations B,"13,50","48,35"
Oncology Venture,"1,918","37,00"
SolTech Energy Sweden,"22,38","34,82"
Paynova,"19,10","30,82"
CloudRepublic B,"9,15","30,71"
Adverty,"6,18","26,90"
QuickBit,"11,35","25,90"
Motion Display,"4,56","157,63"
GoldBlue,"0,280","89,19"
Beyond Frames,"6,35","54,88"
BrainCool,"9,10","40,87"
Spintso International,"0,705","31,78"
iZafe Group B,"4,08","30,77"
ZignSec,"23,00","30,46"
Parans Solar Lighting,"6,02","25,42"
