Stock Name,Price,Increase
Newton Nordic,"1,460","417,73"
OptiMobile,"1,15","116,98"
Net Trading Group NTG,"0,605","95,16"
Russian Real Estate Inv.,"0,09","80,00"
IES Internet Express Scandinavia,"1,95","56,00"
Scandinavian Health Innovations B,"13,50","48,35"
Three Gates,"1,100","41,75"
Stockwik Förvaltning,"97,00","39,37"
Oncology Venture,"1,918","37,00"
SolTech Energy Sweden,"22,38","34,82"
Provide IT,"4,56","33,33"
Guideline Geo,"6,90","32,69"
Paynova,"19,10","30,82"
CloudRepublic B,"9,15","30,71"
EasyFill B,"1,745","27,37"
Adverty,"6,18","26,90"
QuickBit,"11,35","25,90"
Smart Eye,"132,40","24,91"
AdderaCare,"3,54","23,78"
Game Chest,"8,82","23,18"
Motion Display,"4,56","157,63"
Zutec Holding,"3,18","107,84"
GoldBlue,"0,280","89,19"
Odd Molly International,"12,98","59,46"
Beyond Frames,"6,35","54,88"
Pegroco Invest Pref,"55,80","43,81"
BrainCool,"9,10","40,87"
Veoneer SDB,"127,00","39,10"
Promore Pharma,"7,60","36,94"
Sjöstrand Coffee B,"1,205","33,89"
Star Vault B,"0,584","32,73"
Spintso International,"0,705","31,78"
iZafe Group B,"4,08","30,77"
ZignSec,"23,00","30,46"
HiQ International,"70,30","27,12"
Lyko Group A,"405,00","26,56"
Parans Solar Lighting,"6,02","25,42"
SynAct,"43,00","23,92"
ZetaDisplay,"19,45","23,49"
OmniCar,"0,808","23,17"
